Cod_setor,Cod_Grandes Regiões,Nome_Grande_Regiao,Cod_UF,Nome_da_UF,Cod_meso,Nome_da_meso,Cod_micro,Nome_da_micro,Cod_RM,Nome_da_RM,Cod_municipio,Nome_do_municipio,Cod_distrito,Nome_do_distrito,Cod_subdistrito,Nome_do_subdistrito,Cod_bairro,Nome_do_bairro,Situacao_setor,Tipo_setor,V001,V002,V003,V004,V005,V006,V007,V008,V009,V010,V011,V012
"354870805000036","3",Região Sudeste,SP,São Paulo,"3515",Metropolitana de São Paulo,"35061",São Paulo,"20",RM São Paulo,"3548708",SÃO BERNARDO DO CAMPO,"354870805",SÃO BERNARDO DO CAMPO,"35487080500",SÃO BERNARDO DO CAMPO,"3548708011",Centro,"1","0","160","389",2.43,1.4,1139.26,2262035.86,2071.38,2181105.34,873.17,1789992.39,1987.04,1860501.55
"354870805000037","3",Região Sudeste,SP,São Paulo,"3515",Metropolitana de São Paulo,"35061",São Paulo,"20",RM São Paulo,"3548708",SÃO BERNARDO DO CAMPO,"354870805",SÃO BERNARDO DO CAMPO,"35487080500",SÃO BERNARDO DO CAMPO,"3548708011",Centro,"1","0","113","320",2.83,1.43,3465.73,12688326.14,3592.92,12697075.34,2191.45,8866260.31,3101.11,9729718.02
"354870805000038","3",Região Sudeste,SP,São Paulo,"3515",Metropolitana de São Paulo,"35061",São Paulo,"20",RM São Paulo,"3548708",SÃO BERNARDO DO CAMPO,"354870805",SÃO BERNARDO DO CAMPO,"35487080500",SÃO BERNARDO DO CAMPO,"3548708011",Centro,"1","0","222","653",2.94,2.11,2369.1,5815922.26,2540.77,5801110.08,1378.02,3787868.32,1999.48,4254546.12
"354870805000039","3",Região Sudeste,SP,São Paulo,"3515",Metropolitana de São Paulo,"35061",São Paulo,"20",RM São Paulo,"3548708",SÃO BERNARDO DO CAMPO,"354870805",SÃO BERNARDO DO CAMPO,"35487080500",SÃO BERNARDO DO CAMPO,"3548708011",Centro,"1","0","192","547",2.85,1.39,2797.71,9667079.97,3399.75,9700772.43,1767.43,6439786.04,2773.24,7318067.33
"354870805000041","3",Região Sudeste,SP,São Paulo,"3515",Metropolitana de São Paulo,"35061",São Paulo,"20",RM São Paulo,"3548708",SÃO BERNARDO DO CAMPO,"354870805",SÃO BERNARDO DO CAMPO,"35487080500",SÃO BERNARDO DO CAMPO,"3548708011",Centro,"1","0","116","324",2.79,1.64,2221.07,3282614.99,2342.22,3176948.21,1441.49,2641343.19,2037.49,2518506.71
"354870805000042","3",Região Sudeste,SP,São Paulo,"3515",Metropolitana de São Paulo,"35061",São Paulo,"20",RM São Paulo,"3548708",SÃO BERNARDO DO CAMPO,"354870805",SÃO BERNARDO DO CAMPO,"35487080500",SÃO BERNARDO DO CAMPO,"3548708011",Centro,"1","0","302","900",2.98,1.91,2351.7,10014438.69,2620.71,10456626.52,1405.52,6108387.17,2060.92,7608714.66
"354870805000043","3",Região Sudeste,SP,São Paulo,"3515",Metropolitana de São Paulo,"35061",São Paulo,"20",RM São Paulo,"3548708",SÃO BERNARDO DO CAMPO,"354870805",SÃO BERNARDO DO CAMPO,"35487080500",SÃO BERNARDO DO CAMPO,"3548708011",Centro,"1","0","203","533",2.63,1.6,3474.28,9090880.7,3751.48,8774611.05,2202.17,6987558.6,2987.77,7133517.35
"354870805000044","3",Região Sudeste,SP,São Paulo,"3515",Metropolitana de São Paulo,"35061",São Paulo,"20",RM São Paulo,"3548708",SÃO BERNARDO DO CAMPO,"354870805",SÃO BERNARDO DO CAMPO,"35487080500",SÃO BERNARDO DO CAMPO,"3548708011",Centro,"1","0","259","635",2.45,1.24,2687.49,4975521.72,3066.35,4513182.49,1938.21,5063634.42,2757.7,4944387.28
"354870805000045","3",Região Sudeste,SP,São Paulo,"3515",Metropolitana de São Paulo,"35061",São Paulo,"20",RM São Paulo,"3548708",SÃO BERNARDO DO CAMPO,"354870805",SÃO BERNARDO DO CAMPO,"35487080500",SÃO BERNARDO DO CAMPO,"3548708011",Centro,"1","0","204","606",2.97,1.98,2054.38,3084492.25,2182.78,2996548.27,1201.19,2409151.92,1806.75,2529926.1
"354870805000046","3",Região Sudeste,SP,São Paulo,"3515",Metropolitana de São Paulo,"35061",São Paulo,"20",RM São Paulo,"3548708",SÃO BERNARDO DO CAMPO,"354870805",SÃO BERNARDO DO CAMPO,"35487080500",SÃO BERNARDO DO CAMPO,"3548708011",Centro,"1","0","150","470",3.13,2.6,1429.37,3218394.52,1576.51,3318467.29,812.08,1868059.35,1271.08,2342363.81
